RWIS SUB SENSOR REPORT
======================

SITE      SITE NAME                                                   SENSOR    SENSOR NAME                                       ISSUES
OH006F    D01 OH006F WYA US30 11.05- US30/23 @ Wyandot Ave            0         SubSurface Sensor                                 No Reading
OH008F    D03 OH008F HUR US250 08.73- US250 @ HUR Garage              0         SubSurface Sensor                                 No Reading
OH012F    D05 OH012F FAI US33 11.02- US33 @ Hocking Rvr               0         SubSurface Sensor                                 No Reading
OH020F    D07 OH020F DAR SR502 03.31- SR502 @ CR30                    0         SubSurface Sensor                                 No Reading
OH021F    D07 OH021F LOG US33 17.63- US33 S of SR540                  0         SubSurface Sensor                                 No Reading
OH022F    D07 OH022F MER SR29 01.63- SR 29 @ Hickory Branch           0         SubSurface Sensor                                 No Reading
OH023F    D09 OH023F ADA SR136 04.15- SR136 @ SR41                    0         SubSurface Sensor                                 No Reading
OH026F    D09 OH026F JAC SR32 11.79- SR32 @ US35                      0         SubSurface Sensor                                 No Reading
OH027F    D09 OH027F LAW US52 09.00- US52 N of Ice Creek              0         SubSurface Sensor                                 No Reading
OH030F    D09 OH030F SCI US23 09.71- US23 @ SCI Garage                0         SubSurface Sensor                                 No Reading
OH031F    D10 OH031F ATH US50 17.68- US50 @ TR52                      0         SubSurface Sensor                                 No Reading
OH033F    D10 OH033F HOC US33 09.22- US 33@ Hocking River             0         SubSurface Sensor                                 No Reading
OH035F    D10 OH035F MOE SR7 12.82- SR7 @ WV7                         0         SubSurface Sensor                                 No Reading
OH036F    D10 OH036F MRG SR60 09.98- SR60 @ SR607                     0         SubSurface Sensor                                 No Reading
OH037F    D10 OH037F VIN SR32 02.66- SR32 @ SR160                     0         SubSurface Sensor                                 No Reading
OH039F    D11 OH039F COL US30 28.44- US30 @ SR267                     0         SubSurface Sensor                                 No Reading
OH042F    D11 OH042F JEF SR7 14.65- SR7 S of Steubenville             0         SubSurface Sensor                                 No Reading
OH045F    D07 OH045F CLA IR70 44.30- IR70 @ IR675                     0         SubSurface Sensor                                 No Reading
OH046F    D07 OH046F CLA IR70 62.08- IR70 @ US40                      0         SubSurface Sensor                                 No Reading
OH047F    D05 OH047F MUS IR70 143.52- IR70 @ LIC County Line N        0         SubSurface Sensor                                 No Reading
OH050F    D11 OH050F BEL IR470 06.38- IR470 @ SR7                     0         SubSurface Sensor                                 No Reading
OH051F    D08 OH051F PRE US127 00.38 - US127 @ SR744                  0         SubSurface Sensor                                 No Reading
OH056F    D03 OH056F RIC IR71 158.05- IR71 @ CR1                      0         SubSurface Sensor                                 No Reading
OH059F    D03 OH059F MED IR71 210.67- IR71 @ CR40                     0         SubSurface Sensor                                 No Reading
OH061F&M  D08 OH061F&M HAM IR275 18.01- IR275 @ US50(W)               0         SubSurface Sensor                                 No Reading
OH069F    D07 OH069F SHE IR75 105.56- IR75 @ SHE County line          0         SubSurface Sensor                                 No Reading
OH070F    D07 OH070F AUG IR75 118.20- IR75 @ CR208                    0         SubSurface Sensor                                 No Reading
OH071F    D01 OH071F HAN IR75 141.55- IR75 @ ALL County line          0         SubSurface Sensor                                 No Reading
OH073F    D10 OH073F NOB IR77 17.01- IR77 @ SR821                     0         SubSurface Sensor                                 No Reading
OH074F    D05 OH074F GUE IR77 36.53- IR77 @ NOB County line           0         SubSurface Sensor                                 No Reading
OH075F    D11 OH075F TUS IR77 60.05- IR77 @ GUE County line           0         SubSurface Sensor                                 No Reading
OH077F    D03 OH077F ERI SR2 19.51- SR2 @ Huron River                 0         SubSurface Sensor                                 No Reading
OH078F    D03 OH078F LOR IR90 144.93- IR90 @ CR204                    0         SubSurface Sensor                                 No Reading
OH079F    D04 OH079F ATB IR90 215.3- IR90 @ LAK County line           0         SubSurface Sensor                                 No Reading
OH082F    D04 OH082F TRU IR80 237.0- IR80 @ PA line                   0         SubSurface Sensor                                 No Reading
OH083F    D04 OH083F POR IR76 50.2- IR76 @ MAH County line            0         SubSurface Sensor                                 No Reading
OH084F    D04 OH084F POR IR76 29.8- IR76 @ SUM County line            0         SubSurface Sensor                                 No Reading
OH085F    D04 OH085F ATB SR11 00.45- SR11 @ TRU County line           0         SubSurface Sensor                                 No Reading
OH086F    D04 OH086F MAH SR11 00.00- SR11 @ COL County line           0         SubSurface Sensor                                 No Reading
OH088F    D06 OH088F FRA IR270 30.46- IR 270 @ SR 161                 0         SubSurface Sensor                                 No Reading
OH091F    D04 OH091F ATB SR45 10.95- SR45 @ Rock Creek                0         SubSurface Sensor                                 No Reading
OH092F    D04 OH092F ATB SR7 18.08- SR7 @ SR167 East                  0         SubSurface Sensor                                 No Reading
OH093F    D05 OH093F LIC IR70 128.97- IR70 @ SR79                     0         SubSurface Sensor                                 No Reading
OH094F    D05 OH094F KNO SR3 34.35- SR3 @ Shadley Valley Cr.          0         SubSurface Sensor                                 No Reading
OH096F    D11 OH096F TUS SR39 03.60- SR39 @ Sugarcreek                0         SubSurface Sensor                                 No Reading
OH097F    D11 OH097F TUS US250 22.91- US250 @ CR603                   0         SubSurface Sensor                                 No Reading
OH099F    D11 OH099F HAS US22 24.61- US22 @ RR E of SR151             0         SubSurface Sensor                                 No Reading
OH100F    D11 OH100F JEF SR7 33.74- SR7 @ SR213                       0         SubSurface Sensor                                 No Reading
OH101F    D05 OH101F LIC IR70 112.16- IR70 @ SR256                    0         SubSurface Sensor                                 No Reading
OH104F    D06 OH104F DEL IR71 130.70@ US36                            0         SubSurface Sensor                                 No Reading
OH105F    D06 OH105F FRA IR71 118.87- IR71 @ Schrock Road             0         SubSurface Sensor                                 No Reading
OH106F    D06 OH106F PIC US23 08.67- US23 @ US22                      0         SubSurface Sensor                                 No Reading
OH109F    D06 OH109F FRA IR71 101.62- IR71 S @ IR270                  0         SubSurface Sensor                                 No Reading
OH110F    D06 OH110F FRA US33 26.00- US33 @ Hamilton Rd               0         SubSurface Sensor                                 No Reading
OH111F    D06 OH111F FRA IR670 09.03- IR670 @ Airport exit            0         SubSurface Sensor                                 No Reading
OH114F    D04 OH114F SUM IR480 38.90- IR480 @ Old Mill Rd.            0         SubSurface Sensor                                 No Reading
OH152F    D12 OH152F CUY IR90 171.02- IR90 @ Fairfield Ave            0         SubSurface Sensor                                 No Reading
OH153F    D12 OH153F CUY IR90 180.01- IR90 @ E. 140th                 0         SubSurface Sensor                                 No Reading
OH154F    D12 OH154F LAK IR271 40.00- IR271 @ IR90                    0         SubSurface Sensor                                 No Reading
OH155F    D12 OH155F CUY IR480 02.09- IR480 @ SR10                    0         SubSurface Sensor                                 No Reading
OH156F    D12 OH156F CUY IR71 237.58- IR71 @ Snow Rd                  0         SubSurface Sensor                                 No Reading
OH157F    D12 OH157F CUY IR77 156.64- IR77 @ IR480                    0         SubSurface Sensor                                 No Reading
OH158F    D12 OH158F CUY IR480 N 00.62- IR480 N @ Miles Rd            0         SubSurface Sensor                                 No Reading
OH160F    D12 OH160F CUY IR71 229.69- IR71 @ Drake Rd                 0         SubSurface Sensor                                 No Reading
OH161F    D12 OH161F CUY IR77 150.02- IR77 @ SR82                     0         SubSurface Sensor                                 No Reading
OH162F    D12 OH162F GEA US422 00.23- US422 @ River Rd                0         SubSurface Sensor                                 No Reading
OH163F    D12 OH163F GEA US422 09.21- US422 @ SR44                    0         SubSurface Sensor                                 No Reading
OH164F    D12 OH164F GEA SR528 06.32- SR528 @ SR87                    0         SubSurface Sensor                                 No Reading
OH165F    D12 OH165F GEA SR44 18.39- SR44 @ Mentor Rd                 0         SubSurface Sensor                                 No Reading
OH167F    D12 OH167F LAK IR90 199.70- IR90 @ Hermitage Rd             0         SubSurface Sensor                                 No Reading
OH168F    D12 OH168F LAK IR90 207.08- IR90 @ Paine Rd                 0         SubSurface Sensor                                 No Reading
OH169F    D12 OH169F LAK US20 23.19- US20 @ Parmly Rd                 0         SubSurface Sensor                                 No Reading
