RWIS SUB SENSOR REPORT
======================

SITE      SITE NAME                                                   SENSOR    SENSOR NAME                                       ISSUES
OH020F    D07 OH020F DAR SR502 03.31- SR502 @ CR30                    0         SubSurface Sensor                                 No Reading
OH021F    D07 OH021F LOG US33 17.63- US33 S of SR540                  0         SubSurface Sensor                                 No Reading
OH026F    D09 OH026F JAC SR32 11.79- SR32 @ US35                      0         SubSurface Sensor                                 No Reading
OH027F    D09 OH027F LAW US52 09.00- US52 N of Ice Creek              0         SubSurface Sensor                                 No Reading
OH031F    D10 OH031F ATH US50 17.68- US50 @ TR52                      0         SubSurface Sensor                                 No Reading
OH033F    D10 OH033F HOC US33 09.22- US 33@ Hocking River             0         SubSurface Sensor                                 No Reading
OH037F    D10 OH037F VIN SR32 02.66- SR32 @ SR160                     0         SubSurface Sensor                                 No Reading
OH041F    D11 OH041F HOL US62 03.49- US62 @ SR206                     0         SubSurface Sensor                                 No Reading
OH042F    D11 OH042F JEF SR7 14.65- SR7 S of Steubenville             0         SubSurface Sensor                                 No Reading
OH045F    D07 OH045F CLA IR70 44.30- IR70 @ IR675                     0         SubSurface Sensor                                 No Reading
OH046F    D07 OH046F CLA IR70 62.08- IR70 @ US40                      0         SubSurface Sensor                                 No Reading
OH050F    D11 OH050F BEL IR470 06.38- IR470 @ SR7                     0         SubSurface Sensor                                 No Reading
OH051F    D08 OH051F PRE US127 00.38 - US127 @ SR744                  0         SubSurface Sensor                                 No Reading
OH061F&M  D08 OH061F&M HAM IR275 18.01- IR275 @ US50(W)               0         SubSurface Sensor                                 No Reading
OH070F    D07 OH070F AUG IR75 118.20- IR75 @ CR208                    0         SubSurface Sensor                                 No Reading
OH075F    D11 OH075F TUS IR77 60.05- IR77 @ GUE County line           0         SubSurface Sensor                                 No Reading
OH077F    D03 OH077F ERI SR2 19.51- SR2 @ Huron River                 0         SubSurface Sensor                                 No Reading
OH079F    D04 OH079F ATB IR90 215.3- IR90 @ LAK County line           0         SubSurface Sensor                                 No Reading
OH082F    D04 OH082F TRU IR80 237.0- IR80 @ PA line                   0         SubSurface Sensor                                 No Reading
OH083F    D04 OH083F POR IR76 50.2- IR76 @ MAH County line            0         SubSurface Sensor                                 No Reading
OH086F    D04 OH086F MAH SR11 00.00- SR11 @ COL County line           0         SubSurface Sensor                                 No Reading
OH090F    D04 OH090F STA SR225 03.76- SR225 @ Berlin Reservoir        0         SubSurface Sensor                                 No Reading
OH093F    D05 OH093F LIC IR70 128.97- IR70 @ SR79                     0         SubSurface Sensor                                 No Reading
OH094F    D05 OH094F KNO SR3 34.35- SR3 @ Shadley Valley Cr.          0         SubSurface Sensor                                 No Reading
OH099F    D11 OH099F HAS US22 24.61- US22 @ RR E of SR151             0         SubSurface Sensor                                 No Reading
OH100F    D11 OH100F JEF SR7 33.74- SR7 @ SR213                       0         SubSurface Sensor                                 No Reading
OH101F    D05 OH101F LIC IR70 112.16- IR70 @ SR256                    0         SubSurface Sensor                                 No Reading
OH102F    D08 OH102F BUT US27 20.89- US27 N of TR50 Stout Rd          0         SubSurface Sensor                                 No Reading
OH104F    D06 OH104F DEL IR71 130.70@ US36                            0         SubSurface Sensor                                 No Reading
OH105F    D06 OH105F FRA IR71 118.87- IR71 @ Schrock Road             0         SubSurface Sensor                                 No Reading
OH106F    D06 OH106F PIC US23 08.67- US23 @ US22                      0         SubSurface Sensor                                 No Reading
OH108F    D06 OH108F FRA IR70 99.17- IR70 @ IR71 S/SR315 N            0         SubSurface Sensor                                 No Reading
OH109F    D06 OH109F FRA IR71 101.62- IR71 S @ IR270                  0         SubSurface Sensor                                 No Reading
OH110F    D06 OH110F FRA US33 26.00- US33 @ Hamilton Rd               0         SubSurface Sensor                                 No Reading
OH111F    D06 OH111F FRA IR670 09.03- IR670 @ Airport exit            0         SubSurface Sensor                                 No Reading
OH114F    D04 OH114F SUM IR480 38.90- IR480 @ Old Mill Rd.            0         SubSurface Sensor                                 No Reading
OH152F    D12 OH152F CUY IR90 171.02- IR90 @ Fairfield Ave            0         SubSurface Sensor                                 No Reading
OH153F    D12 OH153F CUY IR90 180.01- IR90 @ E. 140th                 0         SubSurface Sensor                                 No Reading
OH154F    D12 OH154F LAK IR271 40.00- IR271 @ IR90                    0         SubSurface Sensor                                 No Reading
OH156F    D12 OH156F CUY IR71 237.58- IR71 @ Snow Rd                  0         SubSurface Sensor                                 No Reading
OH157F    D12 OH157F CUY IR77 156.64- IR77 @ IR480                    0         SubSurface Sensor                                 No Reading
OH158F    D12 OH158F CUY IR480 N 00.62- IR480 N @ Miles Rd            0         SubSurface Sensor                                 No Reading
OH160F    D12 OH160F CUY IR71 229.69- IR71 @ Drake Rd                 0         SubSurface Sensor                                 No Reading
OH162F    D12 OH162F GEA US422 00.23- US422 @ River Rd                0         SubSurface Sensor                                 No Reading
OH164F    D12 OH164F GEA SR528 06.32- SR528 @ SR87                    0         SubSurface Sensor                                 No Reading
OH167F    D12 OH167F LAK IR90 199.70- IR90 @ Hermitage Rd             0         SubSurface Sensor                                 No Reading
OH168F    D12 OH168F LAK IR90 207.08- IR90 @ Paine Rd                 0         SubSurface Sensor                                 No Reading
OH169F    D12 OH169F LAK US20 23.19- US20 @ Parmly Rd                 0         SubSurface Sensor                                 No Reading
OH170F    D09 OH170F ADA SR32 24.68- SR32 @ CR16 Union Hill Rd        0         SubSurface Sensor                                 No Reading
OH171F    D06 OH171F FRA IR71 97.49- IR71 @ SR665                     0         SubSurface Sensor                                 No Reading
OH173F    D01 OH173F HAN US30 12.22- US30 @ SR68                      0         SubSurface Sensor                                 No Reading
OH175F    D01 OH175F HAR SR235 04.42- SR235 @ SR67                    0         SubSurface Sensor                                 No Reading
OH179F    D10 OH179F ATH US33 3.44- US33 @ SR78 & SR691               0         SubSurface Sensor                                 No Reading
OH182F    D07 OH182F SHE IR75 86.73-IR75 S of Kirkwood R              0         SubSurface Sensor                                 No Reading
OH183M    D06 OH183M FRA IR71 @ IR270 South Columbus                  0         SubSurface Sensor                                 No Reading
OH184M    D08 OH184M GRE IR675 0 78 IR 675 North of Feedwire Rd       0         SubSurface Sensor                                 No Reading
OH185M    D07 OH185M MOT IR75 14.91- IR 75 @ Stanley Ave              0         SubSurface Sensor                                 No Reading
OH186M    D12 OH186M LAK I-90 EB @ CR 100 (River Rd)                  0         SubSurface Sensor                                 No Reading
OH188M    D12 OH188M LAK I-90 EB @ OH-86 (Painesville Warren Rd)      0         SubSurface Sensor                                 No Reading
OH190M    D12 OH190M LAK I-90 WB @ CR221                              0         SubSurface Sensor                                 No Reading
OH191F    D08 OH191F WAR IR71 35.00-IR71 @ Jeremiah Morrow Bridge     0         SubSurface Sensor                                 No Reading
OH193M    D01 OH193M PAU US24 @ Ohio Stateline                        0         SubSurface Sensor                                 No Reading
OH194M    D08 OH194M HAM IR275 @ Louisville Pike                      0         SubSurface Sensor                                 No Reading
OH195M    D10 OH195M WAS IR77 @ SR7 Interchange                       0         SubSurface Sensor                                 No Reading
OH196M    D10 OH196M ATH US33 @ SR78 & SR691                          0         SubSurface Sensor                                 No Reading
OH197M    D12 OH197M CUY IR480 N @ Miles Rd                           0         SubSurface Sensor                                 No Reading
OH198M    D05 OH198M GUE IR77 @ 70                                    0         SubSurface Sensor                                 No Reading
OH200M    D04 OH200M SUM IR271 @ IR77                                 0         SubSurface Sensor                                 No Reading
OH201M    D04 OH201F&M MAH SR711 @ US422                              0         SubSurface Sensor                                 No Reading
OH202M    D12 OH202M CUY IR480 @ SR10                                 0         SubSurface Sensor                                 No Reading
OH203M    D12 OH203M CUY IR271 @ US322                                0         SubSurface Sensor                                 No Reading
OH205M    D12 OH205M LAK I-90 EB @ CR221                              0         SubSurface Sensor                                 No Reading
OH206M    D08 OH206M BUT IR275 @ IR75 Hamilton Butler County Line     0         SubSurface Sensor                                 No Reading
OH207M    D08 OH207M WAR IR75 @ Warren/Montgomery County Line         0         SubSurface Sensor                                 No Reading
OH208M    D12 OH208M LAK I-90 WB @ CR141 (S County Line Rd)           0         SubSurface Sensor                                 No Reading
OH210M    D06 OH210M FRA I670-Airport Connector                       0         SubSurface Sensor                                 No Reading
OH211M    D12 OH211M LAK I-90 WB @ OH86 (Painesville Warren Rd)       0         SubSurface Sensor                                 No Reading
OH215M    D12 OH215M LAK I-90 EB @ CR 413 (Hermitage Rd)              0         SubSurface Sensor                                 No Reading
OH217M    D12 OH217M GEA SR528 @ SR87                                 0         SubSurface Sensor                                 No Reading
OH218M    D12 OH218M CUY IR71 @ Snow Road                             0         SubSurface Sensor                                 No Reading

