RWIS SURFACE SENSOR REPORT
==========================

SITE      SITE NAME                                                   SENSOR    SENSOR NAME                                       ISSUES
OH012F    D05 OH012F FAI US33 11.02- US33 @ Hocking Rvr               0         US33 WB Driving Lane Bridge Deck (0)              No Reading
OH019F    D07 OH019F CHP US68 00.64- US68 @ RR bridge                 2         US68 NB Driving Lane Bridgedeck (2)               No Reading
OH021F    D07 OH021F LOG US33 17.63- US33 S of SR540                  1         US-33 West Bound Passing Lane (1)                 No Reading
OH026F    D09 OH026F JAC SR32 11.79- SR32 @ US35                      2         SR32 Eastbound Driving Lane Bridgedeck (2)        No Reading
OH031F    D10 OH031F ATH US50 17.68- US50 @ TR52                      0         US50 EB Driving (0)                               No Reading
OH033F    D10 OH033F HOC US33 09.22- US 33@ Hocking River             0         US33 EB Driving (0)                               No Reading
OH036F    D10 OH036F MRG SR60 09.98- SR60 @ SR607                     1         SR60 WB Lane (1)                                  No Reading
OH037F    D10 OH037F VIN SR32 02.66- SR32 @ SR160                     0         SR32 EB Driving (0)                               No Reading
OH037F    D10 OH037F VIN SR32 02.66- SR32 @ SR160                     1         SR32 WB Driving Bridgedeck (1)                    No Reading
OH042F    D11 OH042F JEF SR7 14.65- SR7 S of Steubenville             1         SR7 NB Driving (1)                                No Reading
OH042F    D11 OH042F JEF SR7 14.65- SR7 S of Steubenville             2         SR7 SB Driving (2)                                No Reading
OH043F    D08 OH043F PRE IR70 00.77- IR70 W of CR320                  1         IR70 WB Driving (1)                               No Reading
OH044F    D07 OH044F MOT IR70 17.87- IR70 @ PRE County line           1         IR70 EB Driving (1)                               No Reading
OH045F    D07 OH045F CLA IR70 44.30- IR70 @ IR675                     1         I675 SB Passing Departure (1)                     No Reading
OH046F    D07 OH046F CLA IR70 62.08- IR70 @ US40                      0         I70 EB Driving (0)                                No Reading
OH050F    D11 OH050F BEL IR470 06.38- IR470 @ SR7                     1         IR470 WB Driving (1)                              No Reading
OH061F&M  D08 OH061F&M HAM IR275 18.01- IR275 @ US50(W)               0         IR275 NB Driving (0)                              No Reading
OH061F&M  D08 OH061F&M HAM IR275 18.01- IR275 @ US50(W)               1         I-275 SB Passing Lane IS (1)                      No Reading
OH063F    D08 OH063F GRE IR675 07.50- IR675 @ MOT County line         2         IceSight (3)                                      No Reading
OH064F    D08 OH064F BUT IR75 17.60- IR75 @ HAM County line           1         IR75 SB Driving (1)                               No Reading
OH075F    D11 OH075F TUS IR77 60.05- IR77 @ GUE County line           0         IR77 NB Driving (0)                               No Reading
OH079F    D04 OH079F ATB IR90 215.3- IR90 @ LAK County line           0         I90 EB Passing (0)                                No Reading
OH079F    D04 OH079F ATB IR90 215.3- IR90 @ LAK County line           1         I90 EB Driving (1)                                No Reading
OH079F    D04 OH079F ATB IR90 215.3- IR90 @ LAK County line           2         I90 WB Passing (2)                                No Reading
OH079F    D04 OH079F ATB IR90 215.3- IR90 @ LAK County line           3         Site 5 mm215                                      No Reading
OH082F    D04 OH082F TRU IR80 237.0- IR80 @ PA line                   0         I-80 East Bound Driving Lane                      No Reading
OH082F    D04 OH082F TRU IR80 237.0- IR80 @ PA line                   1         IR80 WB Driving (1)                               No Reading
OH083F    D04 OH083F POR IR76 50.2- IR76 @ MAH County line            0         IR76 EB Passing (0)                               No Reading
OH083F    D04 OH083F POR IR76 50.2- IR76 @ MAH County line            1         IR76 WB Passing Bridgedeck (1)                    No Reading
OH093F    D05 OH093F LIC IR70 128.97- IR70 @ SR79                     2         IR70 EB Driving (2)                               No Reading
OH093F    D05 OH093F LIC IR70 128.97- IR70 @ SR79                     3         IR70 WB Driving (3)                               No Reading
OH101F    D05 OH101F LIC IR70 112.16- IR70 @ SR256                    0         IR70 WB Passing (0)                               No Reading
OH102F    D08 OH102F BUT US27 20.89- US27 N of TR50 Stout Rd          0         SR27 NB Lane (0)                                  No Reading
OH103F    D08 OH103F HAM IR275 72.55- IR275 @ US52(E)                 0         I275 SB Driving Bridgedeck (0)                    No Reading
